_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
207.7467574200	-11.4186715100	VizieR	5556	749	1	207.74675742	-11.41867151	9.168	11.012	mc5	0.167	4200	K3 III	197388
206.9704336100	-10.1832881700	VizieR	5556	765	1	206.97043361	-10.18328817	9.091	9.357	mc5	0.048	8100	A6 IV	197389
207.2972738300	-10.1937177500	VizieR	5556	809	1	207.29727383	-10.19371775	10.368	11.546	ppS	0.228	6030	G0	197390
208.5330046100	-11.6953747200	VizieR	5556	814	1	208.53300461	-11.69537472	7.528	9.207	mc5	0.143	4420	K2 III	197391
207.0115154100	-11.4805995500	VizieR	5556	903	1	207.01151541	-11.48059955	8.905	10.139	mc5	0.154	4900	G8 III/IV	197392
207.7572549300	-10.5057448700	VizieR	5556	985	1	207.75725493	-10.50574487	8.968	10.232	mc5	0.141	4750	K0 III	197393
207.9175686100	-11.8638580000	VizieR	5556	1092	1	207.91756861	-11.86385800	10.227	10.963	mc5	0.272	5860	G2/3 V	197394
207.0419075400	-10.7887506600	VizieR	5556	1132	1	207.04190754	-10.78875066	8.442	9.386	mc5	2.162	5250	K0 V	197395
206.9590395200	-11.2844464700	VizieR	5556	1214	1	206.95903952	-11.28444647	9.537	11.555	mc5	0.161	3950	K5/M0 (III)	197396
207.5240115800	-12.0066114000	VizieR	5556	1229	1	207.52401158	-12.00661140	10.485	10.847	mc5	0.079	7200	F0 V	197397
209.0703092300	-12.4034965300	VizieR	5556	1310	1	209.07030923	-12.40349653	10.772	10.710	mc5	0.265	11000	B9 III/IV	197398
208.9221803800	-11.4546532400	VizieR	5556	1359	1	208.92218038	-11.45465324	10.050	11.288	mc5	0.045	4900	G8 III/IV	197399
209.1401138300	-11.0113117100	VizieR	5556	1365	1	209.14011383	-11.01131171	10.561	10.994	ppS	0.658	6440	F5	197400
209.2454749900	-10.2573425900	VizieR	5556	1392	1	209.24547499	-10.25734259	9.806	10.306	mc5	0.141	6890	F3 V	197401
208.9733953200	-11.6045414600	VizieR	5556	1421	1	208.97339532	-11.60454146	10.077	10.584	mc5	0.389	6440	F6/7 V	197402
208.9402656300	-11.9176858100	VizieR	5556	1473	1	208.94026563	-11.91768581	9.965	11.352	mc5	0.147	4900	G8/K0 (IV)	197403
209.1516142100	-10.0339503000	VizieR	5556	1541	1	209.15161421	-10.03395030	7.747	8.347	mc5	1.980	6030	G0 V	197404
208.8813268600	-12.2230640800	VizieR	5556	1559	1	208.88132686	-12.22306408	8.085	9.340	mc5	0.091	4750	K0 III	197405
209.2213661100	-10.7036980600	VizieR	5556	1563	1	209.22136611	-10.70369806	9.824	10.276	mc5	0.197	6890	F3/5 V	197406
209.1985442200	-10.7742837800	VizieR	5556	1634	1	209.19854422	-10.77428378	8.956	9.351	mc5	0.797	6890	F3 V	197407
211.0503570100	-12.1297880200	VizieR	5557	128	1	211.05035701	-12.12978802	7.980	8.387	mc5	0.351	7200	F0 V	197408
210.5818200500	-11.0828830300	VizieR	5557	199	1	210.58182005	-11.08288303	8.593	9.731	mc5	0.330	4750	K0 III	197409
209.8457811700	-10.7344524500	VizieR	5557	205	1	209.84578117	-10.73445245	9.960	10.470	mc5	0.279	5770	G6 V	197410
210.8804826800	-10.7312714100	VizieR	5557	338	1	210.88048268	-10.73127141	7.679	9.646	mc5	0.106	3950	K5 III	197413
211.3864867900	-11.4869469400	VizieR	5557	340	1	211.38648679	-11.48694694	9.602	10.027	mc5	0.357	6890	F2 V	197414
210.2515443700	-11.3093133900	VizieR	5557	341	1	210.25154437	-11.30931339	9.245	11.174	mc5	0.136	3720	M1 III	197415
